exp,config_hash,seed,model,task,control_of,est_gpu_minutes
exp_000,96d81108baff,1,bdh,compose,,
exp_001,96d81108baff,2,bdh,compose,,
exp_002,96d81108baff,3,bdh,compose,,
exp_003,1dc41ed747b4,1,bdh,propagate,,
exp_004,1dc41ed747b4,2,bdh,propagate,,
exp_005,1dc41ed747b4,3,bdh,propagate,,
exp_006,a0ac2a68e131,1,bdh_cq,compose,,
exp_007,a0ac2a68e131,2,bdh_cq,compose,,
exp_008,a0ac2a68e131,3,bdh_cq,compose,,
exp_009,bb4435bf81d2,1,bdh_cq,propagate,,
exp_010,bb4435bf81d2,2,bdh_cq,propagate,,
exp_011,bb4435bf81d2,3,bdh_cq,propagate,,
exp_012,415095305f16,1,looped_transformer,compose,,
exp_013,415095305f16,2,looped_transformer,compose,,
exp_014,415095305f16,3,looped_transformer,compose,,
exp_015,abe4d12c0625,1,looped_transformer,propagate,,
exp_016,abe4d12c0625,2,looped_transformer,propagate,,
exp_017,abe4d12c0625,3,looped_transformer,propagate,,
