config_hash,model,task,step,reasoning_steps,split,difficulty,n_seeds,provisional,dev,diverged_k,exact_match_mean,exact_match_std,exact_match_min,exact_match_max,exact_match_values,exact_match_ci95_lo,exact_match_ci95_hi,exact_match_mean_incl_failed,token_acc_mean,params
347edd786918,bdh,compose,3000,1,interp,"{""depth"": 1}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
347edd786918,bdh,compose,3000,1,interp,"{""depth"": 2}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
347edd786918,bdh,compose,3000,2,interp,"{""depth"": 1}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
347edd786918,bdh,compose,3000,2,interp,"{""depth"": 2}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
347edd786918,bdh,compose,3000,4,interp,"{""depth"": 1}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
347edd786918,bdh,compose,3000,4,interp,"{""depth"": 2}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
347edd786918,bdh,compose,3000,8,interp,"{""depth"": 1}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
347edd786918,bdh,compose,3000,8,interp,"{""depth"": 2}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
347edd786918,bdh,compose,3000,16,interp,"{""depth"": 1}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
347edd786918,bdh,compose,3000,16,interp,"{""depth"": 2}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
347edd786918,bdh,compose,3000,1,mild,"{""depth"": 3}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
347edd786918,bdh,compose,3000,1,mild,"{""depth"": 4}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
347edd786918,bdh,compose,3000,2,mild,"{""depth"": 3}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
347edd786918,bdh,compose,3000,2,mild,"{""depth"": 4}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
347edd786918,bdh,compose,3000,4,mild,"{""depth"": 3}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
347edd786918,bdh,compose,3000,4,mild,"{""depth"": 4}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
347edd786918,bdh,compose,3000,8,mild,"{""depth"": 3}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
347edd786918,bdh,compose,3000,8,mild,"{""depth"": 4}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
347edd786918,bdh,compose,3000,16,mild,"{""depth"": 3}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
347edd786918,bdh,compose,3000,16,mild,"{""depth"": 4}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
347edd786918,bdh,compose,3000,1,strong,"{""depth"": 6}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
347edd786918,bdh,compose,3000,1,strong,"{""depth"": 8}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
347edd786918,bdh,compose,3000,2,strong,"{""depth"": 6}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
347edd786918,bdh,compose,3000,2,strong,"{""depth"": 8}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
347edd786918,bdh,compose,3000,4,strong,"{""depth"": 6}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
347edd786918,bdh,compose,3000,4,strong,"{""depth"": 8}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
347edd786918,bdh,compose,3000,8,strong,"{""depth"": 6}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
347edd786918,bdh,compose,3000,8,strong,"{""depth"": 8}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
347edd786918,bdh,compose,3000,16,strong,"{""depth"": 6}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
347edd786918,bdh,compose,3000,16,strong,"{""depth"": 8}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
2d9d96fc3b3d,bdh_cq,compose,3000,1,interp,"{""depth"": 1}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
2d9d96fc3b3d,bdh_cq,compose,3000,1,interp,"{""depth"": 2}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
2d9d96fc3b3d,bdh_cq,compose,3000,2,interp,"{""depth"": 1}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
2d9d96fc3b3d,bdh_cq,compose,3000,2,interp,"{""depth"": 2}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
2d9d96fc3b3d,bdh_cq,compose,3000,4,interp,"{""depth"": 1}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
2d9d96fc3b3d,bdh_cq,compose,3000,4,interp,"{""depth"": 2}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
2d9d96fc3b3d,bdh_cq,compose,3000,8,interp,"{""depth"": 1}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
2d9d96fc3b3d,bdh_cq,compose,3000,8,interp,"{""depth"": 2}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
2d9d96fc3b3d,bdh_cq,compose,3000,16,interp,"{""depth"": 1}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
2d9d96fc3b3d,bdh_cq,compose,3000,16,interp,"{""depth"": 2}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
2d9d96fc3b3d,bdh_cq,compose,3000,1,mild,"{""depth"": 3}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
2d9d96fc3b3d,bdh_cq,compose,3000,1,mild,"{""depth"": 4}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
2d9d96fc3b3d,bdh_cq,compose,3000,2,mild,"{""depth"": 3}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
2d9d96fc3b3d,bdh_cq,compose,3000,2,mild,"{""depth"": 4}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
2d9d96fc3b3d,bdh_cq,compose,3000,4,mild,"{""depth"": 3}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
2d9d96fc3b3d,bdh_cq,compose,3000,4,mild,"{""depth"": 4}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
2d9d96fc3b3d,bdh_cq,compose,3000,8,mild,"{""depth"": 3}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
2d9d96fc3b3d,bdh_cq,compose,3000,8,mild,"{""depth"": 4}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
2d9d96fc3b3d,bdh_cq,compose,3000,16,mild,"{""depth"": 3}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
2d9d96fc3b3d,bdh_cq,compose,3000,16,mild,"{""depth"": 4}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
2d9d96fc3b3d,bdh_cq,compose,3000,1,strong,"{""depth"": 6}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
2d9d96fc3b3d,bdh_cq,compose,3000,1,strong,"{""depth"": 8}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
2d9d96fc3b3d,bdh_cq,compose,3000,2,strong,"{""depth"": 6}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
2d9d96fc3b3d,bdh_cq,compose,3000,2,strong,"{""depth"": 8}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
2d9d96fc3b3d,bdh_cq,compose,3000,4,strong,"{""depth"": 6}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
2d9d96fc3b3d,bdh_cq,compose,3000,4,strong,"{""depth"": 8}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
2d9d96fc3b3d,bdh_cq,compose,3000,8,strong,"{""depth"": 6}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
2d9d96fc3b3d,bdh_cq,compose,3000,8,strong,"{""depth"": 8}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
2d9d96fc3b3d,bdh_cq,compose,3000,16,strong,"{""depth"": 6}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
2d9d96fc3b3d,bdh_cq,compose,3000,16,strong,"{""depth"": 8}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349440
b749571dfa56,looped_transformer,compose,3000,1,interp,"{""depth"": 1}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349494
b749571dfa56,looped_transformer,compose,3000,1,interp,"{""depth"": 2}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349494
b749571dfa56,looped_transformer,compose,3000,2,interp,"{""depth"": 1}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349494
b749571dfa56,looped_transformer,compose,3000,2,interp,"{""depth"": 2}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349494
b749571dfa56,looped_transformer,compose,3000,4,interp,"{""depth"": 1}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349494
b749571dfa56,looped_transformer,compose,3000,4,interp,"{""depth"": 2}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349494
b749571dfa56,looped_transformer,compose,3000,8,interp,"{""depth"": 1}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349494
b749571dfa56,looped_transformer,compose,3000,8,interp,"{""depth"": 2}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349494
b749571dfa56,looped_transformer,compose,3000,16,interp,"{""depth"": 1}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349494
b749571dfa56,looped_transformer,compose,3000,16,interp,"{""depth"": 2}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349494
b749571dfa56,looped_transformer,compose,3000,1,mild,"{""depth"": 3}",3,True,True,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,349494
